first_note_interval_from_A4,second_note_interval_from_first_note,first_note_hz,second_note_hz,correct_response
0,1,440,466,12
1,1,466,494,12
2,1,494,523,12
3,1,523,554,12
4,1,554,587,12
5,1,587,622,12
6,1,622,659,12
7,1,659,698,12
8,1,698,740,12
9,1,740,784,12
10,1,784,831,12
11,1,831,880,12
0,2,440,494,12
1,2,466,523,12
2,2,494,554,12
3,2,523,587,12
4,2,554,622,12
5,2,587,659,12
6,2,622,698,12
7,2,659,740,12
8,2,698,784,12
9,2,740,831,12
10,2,784,880,12
11,2,831,932,12
0,3,440,523,12
1,3,466,554,12
2,3,494,587,12
3,3,523,622,12
4,3,554,659,12
5,3,587,698,12
6,3,622,740,12
7,3,659,784,12
8,3,698,831,12
9,3,740,880,12
10,3,784,932,12
11,3,831,988,12
0,4,440,554,12
1,4,466,587,12
2,4,494,622,12
3,4,523,659,12
4,4,554,698,12
5,4,587,740,12
6,4,622,784,12
7,4,659,831,12
8,4,698,880,12
9,4,740,932,12
10,4,784,988,12
11,4,831,1047,12
0,5,440,587,12
1,5,466,622,12
2,5,494,659,12
3,5,523,698,12
4,5,554,740,12
5,5,587,784,12
6,5,622,831,12
7,5,659,880,12
8,5,698,932,12
9,5,740,988,12
10,5,784,1047,12
11,5,831,1109,12
0,6,440,622,12
1,6,466,659,12
2,6,494,698,12
3,6,523,740,12
4,6,554,784,12
5,6,587,831,12
6,6,622,880,12
7,6,659,932,12
8,6,698,988,12
9,6,740,1047,12
10,6,784,1109,12
11,6,831,1175,12
0,7,440,659,12
1,7,466,698,12
2,7,494,740,12
3,7,523,784,12
4,7,554,831,12
5,7,587,880,12
6,7,622,932,12
7,7,659,988,12
8,7,698,1047,12
9,7,740,1109,12
10,7,784,1175,12
11,7,831,1245,12
0,8,440,698,12
1,8,466,740,12
2,8,494,784,12
3,8,523,831,12
4,8,554,880,12
5,8,587,932,12
6,8,622,988,12
7,8,659,1047,12
8,8,698,1109,12
9,8,740,1175,12
10,8,784,1245,12
11,8,831,1319,12
0,9,440,740,12
1,9,466,784,12
2,9,494,831,12
3,9,523,880,12
4,9,554,932,12
5,9,587,988,12
6,9,622,1047,12
7,9,659,1109,12
8,9,698,1175,12
9,9,740,1245,12
10,9,784,1319,12
11,9,831,1397,12
0,10,440,784,12
1,10,466,831,12
2,10,494,880,12
3,10,523,932,12
4,10,554,988,12
5,10,587,1047,12
6,10,622,1109,12
7,10,659,1175,12
8,10,698,1245,12
9,10,740,1319,12
10,10,784,1397,12
11,10,831,1480,12
0,11,440,831,12
1,11,466,880,12
2,11,494,932,12
3,11,523,988,12
4,11,554,1047,12
5,11,587,1109,12
6,11,622,1175,12
7,11,659,1245,12
8,11,698,1319,12
9,11,740,1397,12
10,11,784,1480,12
11,11,831,1568,12
0,12,440,880,12
1,12,466,932,12
2,12,494,988,12
3,12,523,1047,12
4,12,554,1109,12
5,12,587,1175,12
6,12,622,1245,12
7,12,659,1319,12
8,12,698,1397,12
9,12,740,1480,12
10,12,784,1568,12
11,12,831,1661,12
