trial,start_time,rt,correct,condition,mask,test,user_answer,fact_id,question,answer,alpha
1,14674.723969001207,4587.611814000411,True,pitch,True,learning,c,5,c4,c,0.3
2,27174.83294700287,1747.0844889976433,True,pitch,True,learning,c,5,c4,c,0.3
3,37891.64017300209,1637.2895569984394,True,pitch,True,learning,g,3,g3,g,0.3
4,48858.19561400058,1889.0331389993662,True,pitch,True,learning,g,3,g3,g,0.3
5,57924.90213600104,1701.5575180012092,True,pitch,True,learning,b,4,b4,b,0.3
6,69874.47514400264,1707.049657998141,True,pitch,True,learning,c,1,c3,c,0.3
7,83141.30608300184,2839.7673840008792,False,pitch,True,learning,c,4,b4,b,0.3
8,94041.47519800244,2275.361469000927,True,pitch,True,learning,c,1,c3,c,0.3
9,106124.84641000265,2085.912806000124,True,pitch,True,learning,c,5,c4,c,0.26835937500000007
10,116874.80218500059,2631.330039999739,True,pitch,True,learning,g,3,g3,g,0.324609375
11,125641.4797130019,1904.2008180003904,True,pitch,True,learning,e,2,e3,e,0.3
12,134825.3428570024,1375.3915880006389,True,pitch,True,learning,b,4,b4,b,0.28007812499999996
13,149524.6804720009,4810.542090999661,False,pitch,True,learning,c,2,e3,e,0.3
14,167208.03030000025,2861.968496003101,False,pitch,True,learning,g,1,c3,c,0.349609375
15,175874.70995800322,3404.8681120002584,False,pitch,True,learning,c,3,g3,g,0.3375
16,191658.43379200305,4735.80649699943,False,pitch,True,learning,g,2,e3,e,0.349609375
17,204825.37304500147,1843.6078140002792,True,pitch,True,learning,c,1,c3,c,0.328125
18,216325.17854000253,5598.927798000659,False,pitch,True,learning,g,2,e3,e,0.39921874999999996
19,239358.58047900183,2859.933551000722,True,pitch,True,learning,g,3,g3,g,0.387109375
20,251624.96311400173,3358.495287000551,True,pitch,True,learning,e,2,e3,e,0.4371093749999999
21,261658.62859400295,2324.609248997149,False,pitch,True,learning,b,5,c4,c,0.2718750000000001
22,271174.4509130003,7388.5274220010615,True,pitch,True,learning,e,2,e3,e,0.48671874999999987
23,288091.63736200205,3985.870108997915,True,pitch,True,learning,g,3,g3,g,0.4203125
24,299841.1377700031,1266.2113579972065,False,pitch,True,learning,g,2,e3,e,0.5207031249999999
25,309758.74803700205,1368.806725000497,True,pitch,True,learning,b,4,b4,b,0.23046874999999997
26,322941.3805100012,4460.790329001611,False,pitch,True,learning,c,2,e3,e,0.5703125
27,335675.0814200023,5631.98912200093,True,pitch,True,learning,g,3,g3,g,0.429296875
28,352474.51141000056,5707.033496000804,False,pitch,True,learning,c,2,e3,e,0.595703125
29,371625.0081880025,1601.1398480004864,True,pitch,True,learning,c,1,c3,c,0.27851562500000004
30,383357.96099900105,1732.9553620002698,True,pitch,True,learning,e,2,e3,e,0.59453125
31,393507.8874010033,4018.4707499974757,False,pitch,True,learning,e,3,g3,g,0.47890625
32,406158.32876400236,3609.1666239990736,False,pitch,True,learning,c,2,e3,e,0.619140625
33,422641.9162230013,4209.211358000175,False,pitch,True,learning,e,3,g3,g,0.503515625
34,439191.69770400185,8823.469082999509,False,pitch,True,learning,g,2,e3,e,0.6265625
35,462808.40336100303,4946.63179000048,True,pitch,True,learning,g,3,g3,g,0.5156250000000001
36,478524.7108110016,3870.0619189984864,True,pitch,True,learning,e,2,e3,e,0.648046875
37,494608.4727820016,5965.599381001084,False,pitch,True,learning,c,3,g3,g,0.5652343750000002
38,506641.152821001,2318.0289810006507,True,pitch,True,test,c,5,c4,c,0.2933593750000001
39,517075.01853100257,3884.0718239989365,False,pitch,True,test,g,2,e3,e,0.65078125
40,528208.1647090018,1480.4048010009574,True,pitch,True,test,b,4,b4,b,0.21757812499999998
41,539108.6079370034,7199.4841839987785,True,pitch,True,test,b,4,b4,b,0.22343749999999998
42,554341.0202380001,2977.5310950026615,True,pitch,True,test,c,1,c3,c,0.328125
43,568491.1256760024,4172.019830999547,True,pitch,True,test,g,3,g3,g,0.5648437500000002
44,576824.8958110017,3128.0188749987865,True,pitch,True,test,g,3,g3,g,0.5738281250000002
45,584958.2340000016,5314.488423999166,True,pitch,True,test,c,5,c4,c,0.29453125000000013
46,597757.8478660034,3659.8465489987284,True,pitch,True,test,c,1,c3,c,0.37773437499999996
47,606424.6852530014,3362.6371749996906,True,pitch,True,test,e,2,e3,e,0.650390625
48,612502.2732380021,3615.2527740014484,False,pitch,False,learning,e,3,g3,g,0.5804687500000002
49,617591.5326580034,2635.5223760001827,True,pitch,False,learning,e,2,e3,e,0.65078125
50,621491.3524820004,1136.127245001262,True,pitch,False,learning,g,3,g3,g,0.5800781250000002
51,623891.3186120008,986.0318690006388,True,pitch,False,learning,e,2,e3,e,0.648046875
52,626158.3146350022,3459.1373129987624,True,pitch,False,learning,c,1,c3,c,0.37890625
53,630858.380853002,2283.9095589988865,True,pitch,False,learning,e,2,e3,e,0.65078125
54,634508.2865250006,1048.4659430002794,True,pitch,False,learning,g,3,g3,g,0.5679687500000002
55,636891.4520120015,885.3236280010315,True,pitch,False,learning,e,2,e3,e,0.6050781249999999
56,639091.0103470015,1147.7683929987252,True,pitch,False,learning,g,3,g3,g,0.6175781250000003
57,641558.5845290007,928.2245030008489,True,pitch,False,learning,e,2,e3,e,0.6046874999999999
58,643809.2709360026,1019.1263939995551,True,pitch,False,learning,g,3,g3,g,0.5882812500000003
59,646125.6785030018,1117.292868999415,True,pitch,False,learning,c,1,c3,c,0.378515625
60,648524.3817610026,1897.640777999186,True,pitch,False,learning,c,5,c4,c,0.3378906250000001
61,651657.7780120024,878.890183998039,True,pitch,False,learning,g,3,g3,g,0.5386718750000002
62,653791.2740760003,2540.2418940028874,True,pitch,False,learning,e,2,e3,e,0.6050781249999999
63,657624.5700090004,1151.7692310006823,True,pitch,False,learning,c,5,c4,c,0.33750000000000013
64,660024.5317890004,2367.297562002903,False,pitch,False,learning,g,2,e3,e,0.6546875
65,663958.1138940011,1433.061292002094,True,pitch,False,learning,c,1,c3,c,0.40312500000000007
66,666624.5858400034,2606.894474996836,False,pitch,False,learning,g,2,e3,e,0.704296875
67,670458.6413050019,1532.9666229991708,True,pitch,False,learning,g,3,g3,g,0.5882812500000003
68,673242.3675590034,1479.3647049992578,True,pitch,False,learning,e,2,e3,e,0.7539062500000001
69,675957.8581950009,1283.2964100015815,True,pitch,False,learning,g,3,g3,g,0.5917968750000003
70,678541.990372003,829.1411879982334,True,pitch,False,learning,e,2,e3,e,0.7535156250000001
71,680625.3191250034,801.2880850001238,True,pitch,False,learning,g,3,g3,g,0.5906250000000003
72,682758.3415860026,872.9866309986683,True,pitch,False,learning,e,2,e3,e,0.7289062500000001
73,684908.3394550034,1138.1446689993609,True,pitch,False,learning,c,1,c3,c,0.4027343750000001
74,687307.6714850031,1228.746668999549,True,pitch,False,learning,e,2,e3,e,0.7292968750000001
75,689874.9963250011,1256.1870780009776,True,pitch,False,learning,g,3,g3,g,0.6003906250000003
76,692391.8438090004,1049.0821720013628,True,pitch,False,learning,e,2,e3,e,0.7039062500000001
77,694791.5474690017,1079.214402998332,True,pitch,False,learning,g,3,g3,g,0.6218750000000003
78,697175.4352550015,870.375332000549,True,pitch,False,learning,e,2,e3,e,0.658203125
79,699325.5249640024,1001.6073689984623,True,pitch,False,learning,g,3,g3,g,0.6253906250000002
80,701724.6373270027,1421.4209710008,False,pitch,False,learning,b,5,c4,c,0.3386718750000002
81,705308.6747060006,1661.9252870004857,True,pitch,False,learning,g,3,g3,g,0.6312500000000002
82,708191.0060240007,684.5663690001238,True,pitch,False,learning,e,2,e3,e,0.6578125
83,710124.7900790004,865.7730360027635,True,pitch,False,learning,g,3,g3,g,0.6308593750000002
84,712274.7001220013,725.9948089995887,True,pitch,False,learning,e,2,e3,e,0.657421875
85,714341.899115003,758.7325280000223,True,pitch,False,learning,g,3,g3,g,0.6304687500000002
86,716358.1132320033,1142.5162399972323,True,pitch,False,learning,c,1,c3,c,0.37812500000000004
87,718741.7585890035,1458.6317449975759,True,pitch,False,learning,e,2,e3,e,0.6578125
88,721441.6833480027,903.8082509977976,True,pitch,False,learning,g,3,g3,g,0.6058593750000002
89,723674.4812220022,950.9563259999268,True,pitch,False,learning,e,2,e3,e,0.658203125
90,725874.3819120027,1781.6795159997419,True,pitch,False,learning,c,5,c4,c,0.38828125000000013
91,728941.4651860024,2074.3340099980123,False,pitch,False,learning,g,2,e3,e,0.6679687499999999
92,732325.5653320011,1794.6543069994077,True,pitch,False,learning,g,3,g3,g,0.6062500000000002
93,735391.3180670025,919.0956749989418,True,pitch,False,learning,e,2,e3,e,0.6675781249999999
94,737590.9898980026,1539.3441710002953,True,pitch,False,learning,c,5,c4,c,0.4128906250000002
95,740390.9436770009,1274.6088090024423,True,pitch,False,learning,e,2,e3,e,0.7171875
96,742975.142942003,1435.3934600003995,True,pitch,False,learning,g,3,g3,g,0.6558593750000002
97,745657.820157001,732.3431700023357,True,pitch,False,learning,e,2,e3,e,0.668359375
98,747758.8199100028,791.1453019988257,True,pitch,False,learning,g,3,g3,g,0.6062500000000002
99,750008.8004880017,1466.307615999598,True,pitch,False,learning,c,5,c4,c,0.45078125000000013
100,752825.5530210008,1574.5102510008728,True,pitch,False,learning,e,2,e3,e,0.71796875
101,755641.6477810016,1953.802268999396,True,pitch,False,learning,c,5,c4,c,0.46601562500000016
102,758875.1266050022,1539.740494001191,True,pitch,False,learning,e,2,e3,e,0.7597656250000001
103,761691.7732680013,1183.3231310010888,True,pitch,False,learning,g,3,g3,g,0.6191406250000001
104,764158.2223450022,1311.3735759980045,True,pitch,False,learning,e,2,e3,e,0.7726562500000002
105,766758.6275240028,3226.103141998523,True,pitch,False,learning,c,5,c4,c,0.46640625000000013
106,771291.3029880001,1589.101584002492,True,pitch,False,learning,e,2,e3,e,0.7941406250000002
107,774141.313608001,1453.5234930007719,True,pitch,False,learning,g,3,g3,g,0.6570312500000001
108,776808.3102260025,961.4273910010234,True,pitch,False,learning,e,2,e3,e,0.7937500000000002
109,779091.7700770006,988.1264280010946,True,pitch,False,learning,g,3,g3,g,0.632421875
110,781541.7550450002,832.8473010004964,True,pitch,False,learning,e,2,e3,e,0.7722656250000001
111,783674.7107030023,1354.9497790009482,True,pitch,False,learning,c,5,c4,c,0.4785156250000001
112,786225.4545370014,1654.0099539998919,True,pitch,False,learning,e,2,e3,e,0.77265625
113,789358.0528760031,1266.4288220002782,True,pitch,False,learning,g,3,g3,g,0.6328125
114,791874.7877510032,924.2802419976797,True,pitch,False,learning,e,2,e3,e,0.723046875
115,794108.690426001,1390.530980999698,True,pitch,False,learning,c,5,c4,c,0.5156250000000001
116,796691.617026001,773.0750310001895,False,pitch,False,learning,g,2,e3,e,0.7234375
117,798824.4392170018,1700.0306549998932,True,pitch,False,learning,g,3,g3,g,0.651953125
118,801741.3923270033,1377.9008959972998,True,pitch,False,learning,c,5,c4,c,0.5636718750000002
119,804375.3456490012,1879.5025580002693,True,pitch,False,learning,e,2,e3,e,0.773046875
