trial,start_time,rt,correct,condition,mask,test,user_answer,fact_id,question,answer,alpha
1,9765.684440993937,1150.9774570004083,True,pitch,mask,train,g,3,g3,g,0.3
2,19732.612699008314,2988.375837012427,False,pitch,mask,test,c,2,e3,e,0.3
3,33832.71933000651,2088.0796969868243,True,pitch,mask,test,c,5,c4,c,0.3
4,44449.790971004404,3365.978282992728,False,pitch,mask,test,c,3,g3,g,0.3
5,57650.214816007065,4190.2834920038,True,pitch,mask,test,c,1,c3,c,0.3
6,76383.1169110199,3276.896430994384,True,pitch,mask,test,b,4,b4,b,0.3
7,82503.38965200353,2751.819607015932,False,pitch,no_mask,train,c,2,e3,e,0.3
8,87205.21429099608,2084.6895209979266,True,pitch,no_mask,test,c,1,c3,c,0.3
9,90432.8394740005,2411.825465009315,False,pitch,no_mask,test,c,4,b4,b,0.3
10,94082.9833180178,4236.91697299364,True,pitch,no_mask,test,g,3,g3,g,0.349609375
11,99483.59757699654,inf,False,pitch,no_mask,test,b,5,c4,c,0.3
12,110349.62199500296,2429.9955680035055,True,pitch,no_mask,test,e,2,e3,e,0.30351562499999996

1,5916.963563009631,904.5562020037323,True,instrument,mask,train,piano,10,piano,piano,0.3
2,13766.976943006739,4289.344101998722,True,instrument,mask,test,harp,8,harp,harp,0.3
3,23899.872117006453,7431.178603001172,True,instrument,mask,test,flute,5,flute,flute,0.3
4,37182.80989699997,5127.920657017967,True,instrument,mask,test,maraccas,9,maraccas,maraccas,0.3
5,49049.321052007144,6326.19204299408,False,instrument,mask,test,flute,2,clarinet,clarinet,0.3
6,63116.34612301714,11174.351066001691,True,instrument,mask,test,harmonica,7,harmonica,harmonica,0.3
7,115640.55347701651,10579.22008499736,True,instrument,mask,train,piano,10,piano,piano,0.3
8,133689.36334201135,6809.922690998064,True,instrument,mask,test,maraccas,9,maraccas,maraccas,0.3
9,147850.36385600688,6928.76131698722,False,instrument,mask,test,ekectrucgyutar,4,electric_guitar,electric guitar,0.3
10,167517.02313299756,7991.771735018119,False,instrument,mask,test,accordeon,6,frenchhorn,french horn,0.3
11,195516.06597402133,10142.354713985696,True,instrument,mask,test,harmonica,7,harmonica,harmonica,0.3
12,214315.78011601232,inf,True,instrument,mask,test,flute,5,flute,flute,0.3

1,128132.8590910125,1911.5443409828003,True,relative,mask,train,perfectfifth,2,7,"perfect fifth 
",0.3
2,142516.15037900046,1868.2777200010605,True,relative,mask,test,perfectunison,0,0,"perfect unison
",0.3
3,158332.1301730175,2717.344806995243,False,relative,mask,test,perfectthird,1,4,"major third 
",0.3
4,178616.27553700237,inf,False,relative,mask,test,perfectoctave,2,7,"perfect fifth 
",0.3
5,207681.94260200835,2132.9334040055983,True,relative,mask,test,perfectoctave,4,12,"perfect octave 
",0.3
6,224682.8563210147,3685.0949169893283,True,relative,mask,test,majorseventh,3,11,"major seventh 
",0.3
7,233708.92283401918,2459.2434389924165,True,relative,no_mask,train,perfectunison,0,0,"perfect unison
",0.3
8,239767.58714599418,2730.1904080086388,True,relative,no_mask,test,perfectfifth,2,7,"perfect fifth 
",0.31914062499999996
9,245832.73630600888,inf,False,relative,no_mask,test,majorseventh,4,12,"perfect octave 
",0.3
10,263016.05864599696,5401.480502012419,True,relative,no_mask,test,majorthird,1,4,"major third 
",0.3
11,270833.21917802095,2683.6723939923104,True,relative,no_mask,test,majorseventh,3,11,"major seventh 
",0.3
12,276382.55332401604,2144.566842005588,True,relative,no_mask,test,perfectunison,0,0,"perfect unison
",0.250390625

