trial,start_time,rt,correct,condition,mask,test,fact_id,question,answer,alpha
1,11302.23794199992,1246.7826669744682,True,pitch,mask,train,2,e3,e,0.3
2,21735.838056978537,1747.7310610120185,False,pitch,mask,test,4,b4,b,0.3
3,35485.320407984545,4287.844853010029,False,pitch,mask,test,2,e3,e,0.3
4,49818.183381983545,4175.412332988344,True,pitch,mask,test,3,g3,g,0.3
5,60518.93202197971,2459.1629070055205,True,pitch,mask,test,1,c3,c,0.3
6,72735.07417997462,6112.469400017289,True,pitch,mask,test,5,c4,c,0.3
7,81821.13208598457,1736.2566030060407,True,pitch,no_mask,train,4,b4,b,0.3
8,85612.39332598052,1199.7010270133615,True,pitch,no_mask,test,4,b4,b,0.250390625
9,87985.38083798485,3252.0663120085374,True,pitch,no_mask,test,3,g3,g,0.3
10,92385.67153699114,2046.4931940077804,True,pitch,no_mask,test,5,c4,c,0.3
11,95602.0089769736,1665.4298860230483,False,pitch,no_mask,test,1,c3,c,0.3
12,98635.2127569844,5576.773687003879,True,pitch,no_mask,test,2,e3,e,0.349609375

1,6994.482512993272,2389.208412991138,True,instrument,mask,train,10,piano,piano,0.3
2,14904.058794985758,5054.344289994333,True,instrument,mask,test,8,harp,harp,0.3
3,24635.58305799961,7052.664190996438,True,instrument,mask,test,4,electric_guitar,electric guitar,0.3
4,40986.07787798392,5821.890219987836,True,instrument,mask,test,6,frenchhorn,french horn,0.3
5,55118.77676099539,3689.2467830039095,True,instrument,mask,test,3,drums,drums,0.3
6,64218.61537298537,6634.260872990126,False,instrument,mask,test,2,clarinet,clarinet,0.3
7,108476.92467799061,8905.36806799355,True,instrument,mask,train,10,piano,piano,0.3
8,127341.90119497362,7934.9878760112915,True,instrument,mask,test,6,frenchhorn,french horn,0.3
9,146152.42560498882,6928.776340006152,True,instrument,mask,test,4,electric_guitar,electric guitar,0.3
10,164185.7294139918,7195.533863006858,False,instrument,mask,test,5,flute,flute,0.3
11,183702.80041598016,9443.324440013384,True,instrument,mask,test,10,piano,piano,0.300390625
12,200485.50430097384,inf,True,instrument,mask,test,7,harmonica,harmonica,0.3

1,119451.92404597765,2205.2570579980966,True,relative,mask,train,4,12,"perfect octave 
",0.3
2,137702.14978198055,3334.5356810023077,True,relative,mask,test,4,12,"perfect octave 
",0.3
3,156351.7056539713,2819.3017459998373,True,relative,mask,test,2,7,"perfect fifth 
",0.3
4,173668.0456319882,7373.409827006981,True,relative,mask,test,1,4,"major third 
",0.3
5,195035.28496299987,2640.7925429812167,True,relative,mask,test,3,11,"major seventh 
",0.3
6,209068.68952399236,2047.1376029890962,True,relative,mask,test,0,0,"perfect unison
",0.3
7,216758.40056798188,2142.759845010005,True,relative,no_mask,train,2,7,"perfect fifth 
",0.3
8,222665.8532389847,3134.692780993646,True,relative,no_mask,test,2,7,"perfect fifth 
",0.300390625
9,228685.58783299522,1899.8465949844103,True,relative,no_mask,test,0,0,"perfect unison
",0.3
10,233451.81177998893,inf,False,relative,no_mask,test,3,11,"major seventh 
",0.3
11,242335.3556409711,4644.776482018642,False,relative,no_mask,test,4,12,"perfect octave 
",0.349609375
12,252969.080380979,inf,True,relative,no_mask,test,1,4,"major third 
",0.3

